module,attributes,sample,metric,score
aaa,asmt,non-smote,accuracy,0.9661016949152542
aaa,asmt,non-smote,fscore,0.0
aaa,asmt,non-smote,precision,0.0
aaa,asmt,non-smote,recall,0.0
aaa,stdnt,non-smote,accuracy,0.9627118644067797
aaa,stdnt,non-smote,fscore,0.0
aaa,stdnt,non-smote,precision,0.0
aaa,stdnt,non-smote,recall,0.0
aaa,abd,non-smote,accuracy,0.96
aaa,abd,non-smote,fscore,0.0013550135501355014
aaa,abd,non-smote,precision,0.02
aaa,abd,non-smote,recall,0.09090909090909091
aaa,abi,non-smote,accuracy,0.96
aaa,abi,non-smote,fscore,0.002708192281651997
aaa,abi,non-smote,precision,0.04
aaa,abi,non-smote,recall,0.15384615384615385
aaa,asmt_stdnt,non-smote,accuracy,0.9633898305084746
aaa,asmt_stdnt,non-smote,fscore,0.0
aaa,asmt_stdnt,non-smote,precision,0.0
aaa,asmt_stdnt,non-smote,recall,0.0
aaa,asmt_abd,non-smote,accuracy,0.9661016949152542
aaa,asmt_abd,non-smote,fscore,0.0
aaa,asmt_abd,non-smote,precision,0.0
aaa,asmt_abd,non-smote,recall,0.0
aaa,asmt_abi,non-smote,accuracy,0.9640677966101695
aaa,asmt_abi,non-smote,fscore,0.002708192281651997
aaa,asmt_abi,non-smote,precision,0.04
aaa,asmt_abi,non-smote,recall,0.2857142857142857
aaa,stdnt_abd,non-smote,accuracy,0.9661016949152542
aaa,stdnt_abd,non-smote,fscore,0.0
aaa,stdnt_abd,non-smote,precision,0.0
aaa,stdnt_abd,non-smote,recall,0.0
aaa,stdnt_abi,non-smote,accuracy,0.9647457627118644
aaa,stdnt_abi,non-smote,fscore,0.0
aaa,stdnt_abi,non-smote,precision,0.0
aaa,stdnt_abi,non-smote,recall,0.0
aaa,asmt_stdnt_abd,non-smote,accuracy,0.9661016949152542
aaa,asmt_stdnt_abd,non-smote,fscore,0.0
aaa,asmt_stdnt_abd,non-smote,precision,0.0
aaa,asmt_stdnt_abd,non-smote,recall,0.0
aaa,asmt_stdnt_abi,non-smote,accuracy,0.9661016949152542
aaa,asmt_stdnt_abi,non-smote,fscore,0.0
aaa,asmt_stdnt_abi,non-smote,precision,0.0
aaa,asmt_stdnt_abi,non-smote,recall,0.0
bbb,asmt,non-smote,accuracy,0.8853485838779956
bbb,asmt,non-smote,fscore,0.0
bbb,asmt,non-smote,precision,0.0
bbb,asmt,non-smote,recall,0.0
bbb,stdnt,non-smote,accuracy,0.8845315904139434
bbb,stdnt,non-smote,fscore,0.0
bbb,stdnt,non-smote,precision,0.0
bbb,stdnt,non-smote,recall,0.0
bbb,abd,non-smote,accuracy,0.8849400871459695
bbb,abd,non-smote,fscore,0.0002722940776038121
bbb,abd,non-smote,precision,0.0011876484560570072
bbb,abd,non-smote,recall,0.2
bbb,abi,non-smote,accuracy,0.8852124183006536
bbb,abi,non-smote,fscore,0.0
bbb,abi,non-smote,precision,0.0
bbb,abi,non-smote,recall,0.0
bbb,asmt_stdnt,non-smote,accuracy,0.8800381263616558
bbb,asmt_stdnt,non-smote,fscore,0.0010887316276537834
bbb,asmt_stdnt,non-smote,precision,0.004750593824228029
bbb,asmt_stdnt,non-smote,recall,0.0851063829787234
bbb,asmt_abd,non-smote,accuracy,0.8843954248366013
bbb,asmt_abd,non-smote,fscore,0.0002722940776038121
bbb,asmt_abd,non-smote,precision,0.0011876484560570072
bbb,asmt_abd,non-smote,recall,0.1111111111111111
bbb,asmt_abi,non-smote,accuracy,0.8850762527233116
bbb,asmt_abi,non-smote,fscore,0.0
bbb,asmt_abi,non-smote,precision,0.0
bbb,asmt_abi,non-smote,recall,0.0
bbb,stdnt_abd,non-smote,accuracy,0.8849400871459695
bbb,stdnt_abd,non-smote,fscore,0.0
bbb,stdnt_abd,non-smote,precision,0.0
bbb,stdnt_abd,non-smote,recall,0.0
bbb,stdnt_abi,non-smote,accuracy,0.8852124183006536
bbb,stdnt_abi,non-smote,fscore,0.0
bbb,stdnt_abi,non-smote,precision,0.0
bbb,stdnt_abi,non-smote,recall,0.0
bbb,asmt_stdnt_abd,non-smote,accuracy,0.8853485838779956
bbb,asmt_stdnt_abd,non-smote,fscore,0.0
bbb,asmt_stdnt_abd,non-smote,precision,0.0
bbb,asmt_stdnt_abd,non-smote,recall,0.0
bbb,asmt_stdnt_abi,non-smote,accuracy,0.8853485838779956
bbb,asmt_stdnt_abi,non-smote,fscore,0.0
