module,attributes,sample,metric,score
aaa,asmt,non-smote,accuracy,0.9661016949152542
aaa,asmt,non-smote,fscore,0.0
aaa,asmt,non-smote,precision,0.0
aaa,asmt,non-smote,recall,0.0
aaa,stdnt,non-smote,accuracy,0.18305084745762712
aaa,stdnt,non-smote,fscore,0.05665349143610012
aaa,stdnt,non-smote,precision,0.86
aaa,stdnt,non-smote,recall,0.0346494762288477
aaa,abd,non-smote,accuracy,0.3627118644067797
aaa,abd,non-smote,fscore,0.057932850559578676
aaa,abd,non-smote,precision,0.88
aaa,abd,non-smote,recall,0.044989775051124746
aaa,abi,non-smote,accuracy,0.4528813559322034
aaa,abi,non-smote,fscore,0.052805280528052806
aaa,abi,non-smote,precision,0.8
aaa,abi,non-smote,recall,0.04778972520908005
aaa,asmt_stdnt,non-smote,accuracy,0.19254237288135592
aaa,asmt_stdnt,non-smote,fscore,0.05665349143610012
aaa,asmt_stdnt,non-smote,precision,0.86
aaa,asmt_stdnt,non-smote,recall,0.035044824775876116
aaa,asmt_abd,non-smote,accuracy,0.3755932203389831
aaa,asmt_abd,non-smote,fscore,0.057932850559578676
aaa,asmt_abd,non-smote,precision,0.88
aaa,asmt_abd,non-smote,recall,0.045881126173096975
aaa,asmt_abi,non-smote,accuracy,0.4535593220338983
aaa,asmt_abi,non-smote,fscore,0.052805280528052806
aaa,asmt_abi,non-smote,precision,0.8
aaa,asmt_abi,non-smote,recall,0.04784688995215311
aaa,stdnt_abd,non-smote,accuracy,0.31796610169491524
aaa,stdnt_abd,non-smote,fscore,0.055372445616348055
aaa,stdnt_abd,non-smote,precision,0.84
aaa,stdnt_abd,non-smote,recall,0.04038461538461539
aaa,stdnt_abi,non-smote,accuracy,0.3647457627118644
aaa,stdnt_abi,non-smote,fscore,0.052805280528052806
aaa,stdnt_abi,non-smote,precision,0.8
aaa,stdnt_abi,non-smote,recall,0.04136504653567735
aaa,asmt_stdnt_abd,non-smote,accuracy,0.32
aaa,asmt_stdnt_abd,non-smote,fscore,0.055372445616348055
aaa,asmt_stdnt_abd,non-smote,precision,0.84
aaa,asmt_stdnt_abd,non-smote,recall,0.040501446480231434
aaa,asmt_stdnt_abi,non-smote,accuracy,0.3640677966101695
aaa,asmt_stdnt_abi,non-smote,fscore,0.052805280528052806
aaa,asmt_stdnt_abi,non-smote,precision,0.8
aaa,asmt_stdnt_abi,non-smote,recall,0.04132231404958678
bbb,asmt,non-smote,accuracy,0.8853485838779956
bbb,asmt,non-smote,fscore,0.0
bbb,asmt,non-smote,precision,0.0
bbb,asmt,non-smote,recall,0.0
bbb,stdnt,non-smote,accuracy,0.8587962962962963
bbb,stdnt,non-smote,fscore,0.012987012987012988
bbb,stdnt,non-smote,precision,0.05700712589073635
bbb,stdnt,non-smote,recall,0.16494845360824742
bbb,abd,non-smote,accuracy,0.7623910675381264
bbb,abd,non-smote,fscore,0.06558672461477677
bbb,abd,non-smote,precision,0.2957244655581948
bbb,abd,non-smote,recall,0.1777301927194861
bbb,abi,non-smote,accuracy,0.8187636165577342
bbb,abi,non-smote,fscore,0.047068209014758666
bbb,abi,non-smote,precision,0.21021377672209027
bbb,abi,non-smote,recall,0.2099644128113879
bbb,asmt_stdnt,non-smote,accuracy,0.8073257080610022
bbb,asmt_stdnt,non-smote,fscore,0.012449255751014885
bbb,asmt_stdnt,non-smote,precision,0.05463182897862233
bbb,asmt_stdnt,non-smote,recall,0.06917293233082708
bbb,asmt_abd,non-smote,accuracy,0.7429193899782135
bbb,asmt_abd,non-smote,fscore,0.061757719714964375
bbb,asmt_abd,non-smote,precision,0.27790973871733965
bbb,asmt_abd,non-smote,recall,0.15455746367239098
bbb,asmt_abi,non-smote,accuracy,0.8133169934640523
bbb,asmt_abi,non-smote,fscore,0.045769026077700906
bbb,asmt_abi,non-smote,precision,0.2042755344418052
bbb,asmt_abi,non-smote,recall,0.1970217640320733
bbb,stdnt_abd,non-smote,accuracy,0.778322440087146
bbb,stdnt_abd,non-smote,fscore,0.0519893899204244
bbb,stdnt_abd,non-smote,precision,0.2327790973871734
bbb,stdnt_abd,non-smote,recall,0.16638370118845497
bbb,stdnt_abi,non-smote,accuracy,0.8257080610021786
bbb,stdnt_abi,non-smote,fscore,0.04238304678128749
bbb,stdnt_abi,non-smote,precision,0.18883610451306407
bbb,stdnt_abi,non-smote,recall,0.21031746031746032
bbb,asmt_stdnt_abd,non-smote,accuracy,0.7604847494553377
